20220314	15:53:15	5951a191-6cff-4fcc-b58e-6bd182d542a6	POST	http://localhost:3000	/api/v1/students

20220314	15:53:15	83b71b39-24a9-4492-ac18-248bf849c345	GET	http://localhost:3000	/api/v1/students

20220314	15:53:15	49902b7f-549b-4666-8279-e53da5a12d1c	GET	http://localhost:3000	/api/v1/students

20220314	15:54:21	07d7a844-bde9-40cd-b625-f7189a797908	GET	http://localhost:3000	/api/v1/students

20220314	15:54:41	6b8c0666-3679-43ef-9fd4-41ae3833a90f	GET	http://localhost:3000	/api/v1/students

20220314	15:55:26	394ee2a0-3b9e-42fd-8306-c9e49c3a379c	GET	http://localhost:3000	/api/v1/students

20220314	16:02:34	4e93dcd7-db10-4678-ae35-674a559a1feb	GET	http://localhost:3000	/api/v1/books

20220314	16:03:28	9ae2bb57-7b49-44d2-aaa2-13f9590e6c5d	POST	http://localhost:3000	/api/v1/books

20220314	16:03:28	fe373eae-a170-4174-b8ee-64ea1f49797d	GET	http://localhost:3000	/api/v1/books

20220314	16:03:28	5b7955d7-7bea-40c9-8c3a-e169c41ff11a	GET	http://localhost:3000	/api/v1/books

20220314	16:04:46	8ab0a30c-7029-47e1-816a-be7a210038c5	POST	http://localhost:3000	/api/v1/books

20220314	16:04:46	815aa7f0-2602-4f87-be37-28cb23d0c25b	GET	http://localhost:3000	/api/v1/books

20220314	16:04:46	dbcf13dd-93c0-486e-a7b0-056429040016	GET	http://localhost:3000	/api/v1/books

20220314	16:11:13	f094f23e-ed9a-4477-8dcc-355eb29b7318	GET	http://localhost:3000	/api/v1/books

20220314	16:12:00	c19764e3-242e-4b15-a87f-2dad89cafff9	POST	http://localhost:3000	/api/v1/books

20220314	16:12:00	ab4da976-31c9-44ed-a1b6-ed5fa1c786c3	GET	http://localhost:3000	/api/v1/books

20220314	16:12:00	e9b709e0-3520-498b-86b0-7d086a54aa83	GET	http://localhost:3000	/api/v1/books

20220314	16:12:30	f444defa-5e67-4717-8be8-474c8fc46efa	POST	http://localhost:3000	/api/v1/books

20220314	16:12:30	366d2d1a-4302-49a0-bb10-9e8faf96d3f0	GET	http://localhost:3000	/api/v1/books

20220314	16:12:31	ffc6fab8-b505-4c90-a219-517eac6f6a5c	GET	http://localhost:3000	/api/v1/books

20220314	16:12:47	13965412-fcc4-48ec-8b4f-3d479df55c63	POST	http://localhost:3000	/api/v1/books

20220314	16:12:47	d9754178-22bc-4196-8631-a43962970aef	GET	http://localhost:3000	/api/v1/books

20220314	16:12:47	ea71074d-a322-4a07-80c2-a7b38138001c	GET	http://localhost:3000	/api/v1/books

20220314	16:14:11	fd1c514f-142c-40fc-a5cb-56d73fae325d	GET	http://localhost:3000	/api/v1/books

20220314	16:14:37	05a14813-deb2-4d6e-8d42-2e486db83916	POST	http://localhost:3000	/api/v1/books

20220314	16:14:38	3e252a7a-15c0-476c-9286-2a7d438869ba	GET	http://localhost:3000	/api/v1/books

20220314	16:14:38	ea13c255-4633-4842-935a-206c61ae8974	GET	http://localhost:3000	/api/v1/books

20220314	16:16:10	0aba9616-9d1b-43ad-a78d-0f3959197603	GET	http://localhost:3000	/api/v1/books

20220314	16:16:23	2ddb734d-f036-4cf3-8d08-73fa74e5986d	GET	http://localhost:3000	/api/v1/books

20220314	16:16:39	a0983df9-cd4f-46e8-96ea-4b8c0c17e279	GET	http://localhost:3000	/api/v1/books

20220314	16:17:36	293f2e4b-124a-48f7-a0cd-80b809b0f30f	POST	http://localhost:3000	/api/v1/books

20220314	16:17:36	87a014c6-80b6-4250-92ca-de2002cc78ed	GET	http://localhost:3000	/api/v1/books

20220314	16:17:36	52d3357e-166a-4df6-a5a8-85ee59de9dd2	GET	http://localhost:3000	/api/v1/books

20220314	16:18:22	8cbbd24f-605b-42ea-9d61-57d3c0591f07	GET	http://localhost:3000	/api/v1/books

20220314	16:20:00	ca275779-c384-410e-9f03-f478deec0f18	GET	http://localhost:3000	/api/v1/students

20220314	16:20:01	76af0ef1-1fc5-43dc-bba4-6a5891349e29	GET	http://localhost:3000	/api/v1/books

20220314	16:20:02	38c4a2e2-3b02-4dc5-af83-78ee33b3c224	GET	http://localhost:3000	/api/v1/students

20220314	16:20:03	f487d21a-c13d-4e5e-ba8d-be2d10f31d68	GET	http://localhost:3000	/api/v1/books

20220314	16:20:04	523a69b8-0866-40e5-9271-83ad2a1d5a6d	GET	http://localhost:3000	/api/v1/students

20220314	16:20:05	0da99b11-e7d5-43ea-bcaf-c0a461c72912	GET	http://localhost:3000	/api/v1/books

20220314	16:20:06	e30e599d-1da8-42f7-a9ee-924fc94df4fa	GET	http://localhost:3000	/api/v1/students

20220314	16:20:07	9fb16437-37e4-4f50-9211-788f7acfaac2	GET	http://localhost:3000	/api/v1/books

20220314	16:20:08	b80c3241-d26c-49cd-aace-a3bb59309233	GET	http://localhost:3000	/api/v1/students

20220314	16:21:32	1d1bf528-f687-49cd-ab35-5da4e2758452	GET	http://localhost:3000	/api/v1/students

20220314	17:02:14	da3bedfd-daa4-4924-a1a2-9379c61d9722	GET	http://localhost:3000	/api/v1/students

20220314	17:07:15	47fb4e90-65c5-4724-947b-c08c7696afc5	GET	http://localhost:3000	/api/v1/students

20220314	17:09:37	e37609ef-d581-4002-97b3-a8e0081869bc	GET	http://localhost:3000	/api/v1/students

20220314	17:16:58	a33f8c1f-4eb6-4d06-9949-18de81e54576	GET	http://localhost:3000	/api/v1/students

20220314	17:17:00	95169b17-dadc-4555-a325-5729591f033d	GET	http://localhost:3000	/api/v1/students

20220314	17:17:01	e0920e0f-160b-436c-81d4-6a9c078b3ba1	GET	http://localhost:3000	/api/v1/books

20220314	17:17:02	20caccf8-3a28-443c-8bfe-11f0b59b57f8	GET	http://localhost:3000	/api/v1/students

20220314	17:17:03	76e4f40d-75ed-4c88-8c9f-234ff6b781a4	GET	http://localhost:3000	/api/v1/books

20220314	17:17:04	e5be8cd4-a7f8-4d32-874a-aab4b8718a51	GET	http://localhost:3000	/api/v1/students

20220314	17:17:05	8a8d932c-5fa7-4103-972b-7a9a86bad92f	GET	http://localhost:3000	/api/v1/books

20220314	17:17:05	fa4a3ab3-810d-4248-ac9a-a48f043f6fe5	GET	http://localhost:3000	/api/v1/students

20220314	17:17:06	295560ba-81bd-41b3-ab5e-d1951566ffc1	GET	http://localhost:3000	/api/v1/books

20220314	17:17:07	998a444e-20a8-46b4-b77e-0391a2579514	GET	http://localhost:3000	/api/v1/students

20220314	17:17:11	f757f7f8-6859-4a0c-94c7-515e25f960ce	GET	http://localhost:3000	/api/v1/books

20220314	17:17:11	7b211423-df62-4d65-bdb2-a9bdf31c163f	GET	http://localhost:3000	/api/v1/students

20220314	17:17:12	fd06c710-dab6-4cd1-a33d-5efa593ccb73	GET	http://localhost:3000	/api/v1/books

20220314	17:17:14	28855e96-b8a6-4817-b1dd-5409f0b88494	GET	http://localhost:3000	/api/v1/students

20220314	17:17:38	64281412-fc34-4612-a4ea-5f0d8b72f4c8	POST	http://localhost:3000	/api/v1/students

20220314	17:18:26	46fa3671-d287-4770-aaa7-bbb16b9035cf	GET	http://localhost:3000	/api/v1/students

20220314	17:18:27	8767c973-80be-467c-8090-bd7e967a4353	GET	http://localhost:3000	/api/v1/students

20220314	17:18:33	222c1940-17b6-476c-8ccf-0da72e65647a	GET	http://localhost:3000	/api/v1/students

20220314	17:18:34	e014d755-654f-48fa-96cb-ca4cda27ccfe	GET	http://localhost:3000	/api/v1/students

20220314	17:18:55	4941a9fb-7559-48c2-8bb3-2ad4eaff40ed	POST	http://localhost:3000	/api/v1/students

20220314	17:19:00	ff1e0d31-9ac5-4555-a7ba-0f8703e85152	GET	http://localhost:3000	/api/v1/students

20220314	17:19:21	2c026f8d-3847-4267-ad91-ccaa006c63c5	GET	http://localhost:3000	/api/v1/students

20220314	17:19:26	bf24645a-7b56-44d7-a4a9-e667f5578b20	GET	http://localhost:3000	/api/v1/students

20220314	17:19:31	5b644a9b-9c6e-4f1a-8609-43c49b734323	GET	http://localhost:3000	/api/v1/students

20220314	17:19:37	7c7f82c2-9733-4a16-ae1e-37436317da1f	GET	http://localhost:3000	/api/v1/students

20220314	17:19:47	60e95e41-a6c0-4a84-a72d-cdc1797e2fc5	GET	http://localhost:3000	/api/v1/students

20220314	17:19:48	b9a3d17c-bf4c-471e-b5e6-b6cf3cf9fdca	GET	http://localhost:3000	/api/v1/students

20220314	17:19:52	2180ff8a-d996-4b3a-a1e7-a56fc8d125db	GET	http://localhost:3000	/api/v1/students

20220314	17:20:03	9a1604a9-3d9d-43da-87b9-523767b9f4f7	GET	http://localhost:3000	/api/v1/students

20220314	17:20:03	0ea15c9e-0daf-4d8f-a63a-95d2ff570584	GET	http://localhost:3000	/api/v1/students

20220314	17:20:07	3c6ee590-1070-42b4-b00d-4c7837034436	GET	http://localhost:3000	/api/v1/students

20220314	17:20:25	72ff80fc-2fcc-489f-b0c3-b5cdd227cbc7	POST	http://localhost:3000	/api/v1/students

20220314	17:20:25	446224a6-73e0-48a7-b4d7-9736b8caf253	GET	http://localhost:3000	/api/v1/students

20220314	17:20:47	4a496c0a-63b5-44fd-a1dc-5edafcc2456c	GET	http://localhost:3000	/api/v1/students

20220314	17:21:00	1faaded1-124f-4d26-ba58-c0bf416bdc54	GET	http://localhost:3000	/api/v1/students

20220314	17:21:07	f4fee555-e062-46ea-a577-c7af4de5201d	GET	http://localhost:3000	/api/v1/students

20220314	17:23:59	f972696a-1013-414b-86ff-fe59cdb0ae0f	GET	http://localhost:3000	/api/v1/books

20220314	17:24:05	fdabe022-51ce-4330-a3e2-77ef0c1cd138	GET	http://localhost:3000	/api/v1/books

20220314	17:24:48	1e100022-5ead-4966-83b2-a6e55702bb80	GET	http://localhost:3000	/api/v1/books

20220314	17:24:53	52236b9a-4574-43a2-96ef-6bf220e07ba8	GET	http://localhost:3000	/api/v1/books

20220314	17:25:17	6f94c4b1-78b2-4587-a6ac-c583ef91e680	POST	http://localhost:3000	/api/v1/books

20220314	17:25:18	d3ac0877-bba9-496d-9f50-df84b47dd224	GET	http://localhost:3000	/api/v1/books

20220314	17:25:51	1930cb39-e8c4-4fe3-92c1-beb1a81310e7	GET	http://localhost:3000	/api/v1/books

20220314	17:25:51	c9775fc1-43b5-4241-ade9-c9ae6277056a	GET	http://localhost:3000	/api/v1/books

20220314	17:25:55	2071373e-a348-4198-aedf-14978db34d39	GET	http://localhost:3000	/api/v1/books

20220314	17:26:18	8a04d0f4-22af-4dc8-b236-487604927eb8	GET	http://localhost:3000	/api/v1/books

20220314	17:26:37	4b0172fc-9bc4-495b-95bf-001ec993431d	GET	http://localhost:3000	/api/v1/books

20220314	17:26:45	8c0fc761-a514-45d8-8b87-6628dc6b54ed	GET	http://localhost:3000	/api/v1/books

20220314	17:26:52	a7f9dbbf-5134-4f42-9f93-6dcffba48db2	GET	http://localhost:3000	/api/v1/books

20220314	17:26:54	f0d43c7a-250b-4ad0-9c33-a5b9ce2185b4	GET	http://localhost:3000	/api/v1/books

20220314	17:28:19	54b5848e-41f0-427f-82e9-2c5e721cf3e2	GET	http://localhost:3000	/api/v1/books

20220314	17:28:30	63e5a84e-74a3-48a8-927e-082158d54040	GET	http://localhost:3000	/api/v1/books

20220314	17:28:31	bae6fafa-bdc8-404c-989f-28bcf602337c	GET	http://localhost:3000	/api/v1/books

20220314	17:28:35	d494a24e-40c2-4dcf-b70b-b7ea429036f2	GET	http://localhost:3000	/api/v1/books

20220314	17:28:45	54f2435e-fcec-45eb-a023-310c09a23c34	GET	http://localhost:3000	/api/v1/books

20220314	17:30:33	6a807c12-e983-4b44-9731-e534a7da5c7a	GET	http://localhost:3000	/api/v1/books

20220314	17:30:54	a0b4218a-9270-42eb-99a0-b7ceea8bb213	GET	http://localhost:3000	/api/v1/books

20220314	17:31:54	49d7ddd0-c267-4cb5-bdbc-eecc9de4882e	GET	http://localhost:3000	/api/v1/books

20220314	17:31:54	7fc39a96-3463-4610-9059-90432836a27b	GET	http://localhost:3000	/api/v1/books

20220314	17:31:57	df63529e-102b-4fc2-a80d-a14105ffb9db	GET	http://localhost:3000	/api/v1/books

20220314	17:32:20	26e33616-c654-44b2-ac8b-47892af564b9	GET	http://localhost:3000	/api/v1/books

20220314	17:32:23	2b231e26-ee6a-4900-8dc5-27759a6aafaa	GET	http://localhost:3000	/api/v1/books

20220314	17:33:07	73c361a6-392c-48c3-968a-f98a34f379b4	GET	http://localhost:3000	/api/v1/books

20220314	17:33:47	a023f699-a607-48b1-8802-b363a41fd262	GET	http://localhost:3000	/api/v1/books

20220314	17:33:50	c9349be0-d58f-40fb-9a4b-dd93a444cf73	GET	http://localhost:3000	/api/v1/books

20220314	17:34:36	4911817a-9d66-4d55-b529-ba3fa2f2de37	GET	http://localhost:3000	/api/v1/books

20220314	17:34:40	7d56469c-310f-45d9-b182-0e854e3f05c0	GET	http://localhost:3000	/api/v1/students

20220314	17:34:51	2c6c4f00-f0e8-4eba-9b38-6490125bf931	GET	http://localhost:3000	/api/v1/students

20220314	17:34:52	4b73735e-efbf-4426-aeac-47eae422d4a3	GET	http://localhost:3000	/api/v1/students

20220314	17:35:37	269cd558-4b95-4f79-8309-8b65722c98ab	GET	http://localhost:3000	/api/v1/students

20220314	17:35:48	ea47d17c-da4c-41b6-a1eb-11c74557e726	GET	http://localhost:3000	/api/v1/students

20220314	17:37:20	fcb66014-a1f9-41dc-ad70-c3c3e122281b	GET	http://localhost:3000	/api/v1/students

20220314	17:37:23	be7be463-1e62-4542-a761-6d9ff51c429f	GET	http://localhost:3000	/api/v1/students

20220314	17:37:23	0e561cd3-9010-441b-83f2-b31bdd04db02	GET	http://localhost:3000	/api/v1/students

20220314	17:37:35	59824960-708e-4929-a3a7-12f467360c2b	POST	http://localhost:3000	/api/v1/students

20220314	17:37:35	062e3367-5e91-42e3-ab1e-231be5a68212	GET	http://localhost:3000	/api/v1/students

20220314	17:38:25	e52a0b98-e130-4051-a467-3f7778f3af72	GET	http://localhost:3000	/api/v1/students

20220314	17:38:59	41ea3693-3ec3-48b1-bcdf-47f76ade54a6	GET	http://localhost:3000	/api/v1/students

20220314	17:38:59	e97568d5-a23f-4a72-8788-a27395662dd1	GET	http://localhost:3000	/api/v1/students

20220314	17:40:16	4eaf9adb-778e-4e68-ba0c-6135aca75e9f	GET	http://localhost:3000	/api/v1/students

20220314	17:40:17	da8ac83a-9084-42d2-a944-91bcbc8d757a	GET	http://localhost:3000	/api/v1/students

20220314	17:40:25	5d15a829-7b4b-4465-bf15-4327e948983d	GET	http://localhost:3000	/api/v1/students

20220314	17:40:30	0fa3bbea-db93-4e2f-95f6-61ab1413c314	GET	http://localhost:3000	/api/v1/students

20220314	17:40:40	d7b272b0-1722-45cb-aaa0-0e612364f25d	GET	http://localhost:3000	/api/v1/students

20220314	17:40:53	f0ecfefb-128f-447d-a78e-a6edbf1f1f6d	GET	http://localhost:3000	/api/v1/students

20220314	17:40:55	c2aed5f0-645f-4eb5-b8c9-b7ee750498bc	GET	http://localhost:3000	/api/v1/students

20220314	17:41:16	9de46cdc-614e-4b9e-b9d4-eb342b55ed34	GET	http://localhost:3000	/api/v1/students

20220314	17:41:29	fc1cc69e-40a1-471b-b9e7-f22091b661a9	GET	http://localhost:3000	/api/v1/students

20220314	17:43:00	770d1b36-ec5e-4d1e-99e0-3e7902e8d29e	GET	http://localhost:3000	/api/v1/students

20220314	17:45:57	1400e517-0206-472b-b6f2-c89eb99e4bea	GET	http://localhost:3000	/api/v1/students

20220314	17:46:38	3232fbb3-2596-4896-8ad3-61d719b976cd	GET	http://localhost:3000	/api/v1/students

20220314	17:46:50	b7b03527-03a3-423d-ab2f-9b7dcf3d88c5	GET	http://localhost:3000	/api/v1/students

20220314	17:46:51	c681ba79-9191-419a-bcec-2eafe937c214	GET	http://localhost:3000	/api/v1/students

20220314	17:47:03	1f356926-4f46-4897-91b8-304edf5efa14	GET	http://localhost:3000	/api/v1/students

20220314	17:47:27	bac51591-be21-4631-b216-c683d7a5d85f	GET	http://localhost:3000	/api/v1/students

20220314	17:48:27	2d9c6842-ab8a-4354-8a32-4310148d0f2e	GET	http://localhost:3000	/api/v1/students

20220314	17:48:30	a4965d0b-b526-4732-8a51-e41255ec129a	GET	http://localhost:3000	/api/v1/students

20220314	17:48:35	4ee22d2e-3de8-44dc-9f03-eccc5a935245	GET	http://localhost:3000	/api/v1/students

20220314	17:48:37	e6b0d95e-7e83-4229-8c01-03971398bfc7	GET	http://localhost:3000	/api/v1/students

20220314	17:48:56	c35d783d-ff64-4318-9ee1-e4961b3ef4bb	GET	http://localhost:3000	/api/v1/students

20220314	17:48:56	f272ca93-5eea-4dc7-919a-813df950563f	GET	http://localhost:3000	/api/v1/students

20220314	17:48:59	b4f5eb3a-1dec-4558-9d01-bd9657e3157f	GET	http://localhost:3000	/api/v1/students

20220314	17:49:00	1879a3bb-7cc5-4a71-bacb-aa9f7a35fa4c	GET	http://localhost:3000	/api/v1/students

20220314	17:49:32	392b8ce6-ec80-4369-b05e-0d0ec77a89cd	GET	http://localhost:3000	/api/v1/students

20220314	17:49:32	0e1d464d-61f4-4f3e-a91d-bfa0a5219010	GET	http://localhost:3000	/api/v1/students

20220314	17:49:38	c5fe63e1-0156-4590-bea6-d0ae992c871f	GET	http://localhost:3000	/api/v1/students

20220314	17:50:01	865e2f78-8d28-47b9-8fab-f8b24bee4355	GET	http://localhost:3000	/api/v1/students

20220314	17:50:27	841ca33e-9440-4192-a932-8d5649256cac	GET	http://localhost:3000	/api/v1/students

20220314	17:51:02	6df6b9d1-d3d0-49ff-a060-72b0c67cc9fb	GET	http://localhost:3000	/api/v1/students

20220314	17:51:11	b197c0f2-bab5-4421-b911-c7fa0b8a7213	GET	http://localhost:3000	/api/v1/students

20220314	17:51:30	128c2461-a6e2-44ed-bc7b-41ec207795cf	GET	http://localhost:3000	/api/v1/students

20220314	17:51:43	85e8c5fa-2845-4db7-bc62-cf255307e2c1	GET	http://localhost:3000	/api/v1/students

20220314	17:52:01	1fc240e8-9ffc-44e7-9bb0-7ebe50b35ee4	GET	http://localhost:3000	/api/v1/students

20220314	17:52:24	59509401-97ed-43dc-a4fa-7271c8b64857	GET	http://localhost:3000	/api/v1/students

20220314	17:52:27	e501e11e-6c4e-4b5c-8470-257cc29eba97	GET	http://localhost:3000	/api/v1/students

20220314	17:52:42	04f96a02-46a3-44bb-9811-a525be3c0d0a	GET	http://localhost:3000	/api/v1/students

20220314	17:53:02	a44f867d-67d4-43df-b16c-b3f07ac5d795	GET	http://localhost:3000	/api/v1/students

20220314	17:53:02	adaacbee-1a51-4670-9615-1eccd41c98bc	GET	http://localhost:3000	/api/v1/students

20220314	17:53:05	de04706d-a3b2-4648-a039-0d8c74b61f2c	GET	http://localhost:3000	/api/v1/students

20220314	17:53:22	d8a03089-5905-4a1a-bda9-79439b080146	GET	http://localhost:3000	/api/v1/students

20220314	17:53:22	a2636052-6122-467a-b9da-1a60627d49a7	GET	http://localhost:3000	/api/v1/students

20220314	17:53:36	7e6ab848-d604-4342-98ec-cdeb0b94a865	GET	http://localhost:3000	/api/v1/students

20220314	17:53:36	71086b4f-5e5c-411a-9a3d-0524a00a39e0	GET	http://localhost:3000	/api/v1/students

20220314	17:53:40	7fe3a765-1a89-4df2-ae5a-79aff4f41cc7	GET	http://localhost:3000	/api/v1/students

20220314	17:54:02	68b67ca1-8c52-45f5-b9d7-48957487b44d	GET	http://localhost:3000	/api/v1/students

20220314	17:54:05	0e2ebc0d-15d9-4e27-87cc-a6c2787bf079	GET	http://localhost:3000	/api/v1/students

20220314	17:54:51	fcac91ce-46bc-4ae8-beff-1445997c2b32	GET	http://localhost:3000	/api/v1/students

20220314	17:54:55	e042799f-29eb-48d1-a59e-a28900022adb	GET	http://localhost:3000	/api/v1/students

20220314	17:55:16	aac92ce7-7655-4fe5-a6ce-75ca8db03add	GET	http://localhost:3000	/api/v1/students

20220314	17:55:21	e980c445-bef0-45b8-8ea6-11b09d1c4840	GET	http://localhost:3000	/api/v1/students

20220314	17:56:03	d240e294-ae3c-44fb-b124-ccdd789b30b4	GET	http://localhost:3000	/api/v1/students

20220314	17:56:06	6f9f2661-c113-44d9-bc07-be4f08dee7d7	GET	http://localhost:3000	/api/v1/students

20220314	17:56:08	0a29ec58-d055-4f29-8e44-0e0d085df8c4	GET	http://localhost:3000	/api/v1/students

20220314	17:56:09	08ce828e-a1f1-4db5-ae2d-18cbd154ea4a	GET	http://localhost:3000	/api/v1/students

20220314	17:56:09	4643db18-51fe-442e-8117-4a4412dc1634	GET	http://localhost:3000	/api/v1/students

20220314	17:56:24	1ae2be2c-6378-4e2f-9aff-b0e5a2a73d4d	POST	http://localhost:3000	/api/v1/students

20220314	17:56:24	aa2f4729-c6c6-477b-b482-078841657ecf	GET	http://localhost:3000	/api/v1/students

20220314	17:56:51	42a91943-f7d9-4f03-8486-d982abfddf1d	GET	http://localhost:3000	/api/v1/students

20220314	17:56:53	ea4555b3-7feb-4e24-89ec-5666b62ed77c	GET	http://localhost:3000	/api/v1/students

